dur,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_state_ttl,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,proto,service,state
1.292678,2934,3740,81.226725,31,29,17811.08594,22718.72852,25.340315,24.37966,2032.399964,67.804586,255,1861926481,1972779139,0.000703,0.000548,0.000155,56,69,0,0,0,1,1,4,1,0,7,1,0,tcp,ftp,FIN
7e-06,114,0,142857.1409,254,0,65142856.0,0.0,0.007,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,5,4,4,0,0,5,4,0,udp,dns,INT
1e-05,114,0,100000.0025,254,0,45600000.0,0.0,0.01,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,23,13,51,0,0,23,51,0,udp,dns,INT
0.0,46,0,0.0,0,0,0.0,0.0,60000.752,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,1,1,1,0,0,1,1,1,arp,-,INT
0.189998,1460,268,78.948199,254,252,55326.89844,9431.677734,19.378444,36.389602,1025.97562,60.734199,255,190656160,3729297770,0.057777,0.008046,0.049731,146,45,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
8e-06,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,18,18,24,0,0,19,24,0,udp,dns,INT
0.018855,1540,1644,1750.198894,31,29,612675.6875,658923.375,1.2362,1.077,74.172985,2.182503,255,1379963200,1384679756,0.000676,0.000543,0.000133,96,91,0,0,0,6,1,6,0,0,9,11,0,tcp,-,FIN
0.558848,794,6798,41.156091,62,252,10235.34082,90371.61719,62.094222,38.441385,3779.376221,3149.359056,255,321857326,1523280552,0.121613,0.058328,0.063285,79,486,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
2.020807,842,354,8.412481,254,252,3000.78125,1227.232422,224.534111,277.363156,14143.3215,402.60625,255,1316255462,3362912266,0.156175,0.077776,0.078399,84,44,0,0,1,1,1,1,0,0,1,2,0,tcp,-,FIN
9e-06,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,3,3,7,0,0,3,7,0,unas,-,INT
9e-06,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,13,13,16,0,0,14,16,0,udp,dns,INT
1.116946,880,678,24.173058,254,252,5908.969727,4455.004883,74.463064,95.465727,4190.256929,159.577438,255,3756337194,540536891,0.115492,0.059452,0.05604,55,57,0,0,1,1,1,3,0,0,1,3,0,tcp,-,FIN
4.674321,180,0,0.641804,254,0,231.049591,0.0,1558.107,0.0,2203.48675,0.0,255,0,0,0.0,0.0,0.0,45,0,0,0,6,1,1,19,0,0,20,19,0,tcp,-,REQ
0.018385,1540,1644,1794.941477,31,29,628338.3125,675768.25,1.2016,1.053882,73.814082,2.019408,255,113397431,119287162,0.000585,0.000463,0.000122,96,91,0,0,0,6,1,7,0,0,11,8,0,tcp,-,FIN
0.338244,1540,1644,97.562709,31,29,34152.85938,36730.88281,22.524667,19.823705,1372.88293,35.270801,255,262419480,301409797,0.001421,0.001231,0.00019,96,91,0,0,0,5,1,5,0,0,7,13,0,tcp,-,FIN
2.223076,2424,304406,135.397974,62,252,8564.708984,1091025.125,41.944829,8.857675,2164.253007,956.616838,255,2549301961,3192208524,0.030255,0.015043,0.015212,45,1227,0,0,1,1,1,1,0,0,1,1,0,tcp,pop3,FIN
1.462141,816,1156,12.994642,62,252,4021.499756,5695.756836,162.452333,146.060672,9914.8826,241.808078,255,1906168842,3857350311,0.208035,0.147593,0.060442,82,116,1,132,1,1,1,2,0,1,2,2,0,tcp,http,FIN
0.042971,4238,63878,3374.368754,31,29,778199.25,11731633.0,0.600746,0.579836,38.273006,40.298832,255,2241489195,96416416,0.000806,0.000631,0.000175,59,863,0,0,0,1,1,1,0,0,6,6,0,tcp,-,FIN
9e-06,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,20,9,41,0,0,20,41,0,udp,dns,INT
0.037927,4862,77276,4455.928293,31,29,1013525.938,16110527.0,0.452771,0.439918,23.706645,23.484981,255,1101794890,1120118547,0.000683,0.000527,0.000156,58,899,0,0,0,1,1,1,0,0,4,3,0,tcp,-,FIN
0.908077,1058,756,20.923336,254,252,8545.53125,5832.104492,82.50427,119.510289,4478.830994,185.914891,255,2802974842,3162288839,0.117208,0.071501,0.045707,88,95,0,0,1,1,1,1,0,0,1,4,0,tcp,-,FIN
0.276434,484,268,54.262499,254,252,12617.83984,6482.560059,28.352667,46.543,1439.358078,68.410664,255,1519031522,2207059150,0.063804,0.043708,0.020096,48,45,0,0,1,2,1,2,0,0,2,13,0,tcp,-,FIN
4e-06,200,0,250000.0006,254,0,200000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,3,3,4,0,0,3,4,0,unas,-,INT
3e-06,200,0,200000.0051,254,0,160000000.0,0.0,0.005,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,6,6,6,0,0,8,14,0,pnni,-,INT
30.983368,184,112,0.225928,0,0,35.632019,21.689056,15491.436,15491.436,15491.396,15491.406,0,0,0,0.0,0.0,0.0,46,28,0,0,0,2,2,2,0,0,2,2,0,arp,-,CON
1e-05,168,0,100000.0025,254,0,67200000.0,0.0,0.01,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,1,1,1,0,0,1,1,0,udp,-,INT
1.1e-05,200,0,90909.0902,254,0,72727272.0,0.0,0.011,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,2,2,0,0,5,11,0,unas,-,INT
4e-06,114,0,250000.0006,254,0,114000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,41,17,45,0,0,41,45,0,udp,dns,INT
3e-06,196,0,333333.3215,254,0,261333328.0,0.0,0.003,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,98,0,0,0,2,5,1,6,0,0,22,6,0,udp,-,INT
0.0,46,0,0.0,0,0,0.0,0.0,60000.712,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,1,1,1,0,0,1,1,1,arp,-,INT
8e-06,200,0,125000.0003,254,0,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,4,4,4,0,0,4,10,0,unas,-,INT
0.735916,28032,1342,72.019087,62,252,296272.9375,13784.18164,21.026171,30.407706,1447.178639,1435.957439,255,2095547142,158429705,0.0,0.0,0.0,779,75,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
5e-06,114,0,200000.0051,254,0,91200000.0,0.0,0.005,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,7,3,7,0,0,7,13,0,udp,dns,INT
0.001785,512,304,3921.568691,31,29,1721008.375,1021848.75,0.470333,0.216667,0.659499,0.297932,0,0,0,0.0,0.0,0.0,128,76,0,0,0,1,1,3,0,0,4,7,0,udp,-,CON
0.005572,4232,2456,6281.406976,31,29,5738693.5,3330940.5,0.307706,0.298,16.498583,0.376021,255,1601661538,1604974605,0.000624,0.000501,0.000123,235,136,0,0,0,1,1,3,0,0,3,14,0,tcp,-,FIN
0.561027,998,86,12.477118,62,252,11863.95703,613.161255,112.2054,0.003,5651.447927,0.0,255,2401018720,967212869,0.245893,0.16383,0.082063,166,43,0,0,3,1,1,4,0,0,1,4,0,tcp,-,CON
6e-06,114,0,166666.6608,254,0,76000000.0,0.0,0.006,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,24,9,24,0,0,24,24,0,udp,dns,INT
1.524594,608,646,12.462335,254,252,2875.519775,3053.927979,169.399333,152.887328,12504.34583,356.935625,255,3036981343,3191410569,0.142358,0.087858,0.0545,61,65,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
0.419858,2516,268,35.726364,254,252,43157.44922,4268.109375,43.966222,67.311,2321.293945,103.529813,255,3878033356,2832797526,0.168871,0.083294,0.085577,252,45,0,0,1,1,1,2,0,0,19,2,0,tcp,-,FIN
0.713755,2754,1694,54.640597,62,252,29332.19336,18045.4082,37.566051,35.041844,1795.599993,40.692301,255,277653718,3448687727,0.102371,0.04322,0.059151,138,85,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
1.272488,132544,2288,117.093442,62,252,826110.75,13963.19629,11.065113,37.500333,1107.237326,1871.05821,255,3436305101,2674627809,0.062555,0.03427,0.028285,1143,67,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
0.177298,756,268,84.603326,254,252,30727.92773,10107.27734,18.906889,33.905398,1002.926716,59.469437,255,1941571190,3801254046,0.053903,0.007764,0.046139,76,45,0,0,1,2,1,7,0,0,2,7,0,tcp,-,FIN
0.606499,534,268,24.732109,254,252,6344.610352,2954.662598,62.705444,102.856,3114.803907,149.447266,255,4292577288,2429090242,0.162343,0.092216,0.070127,53,45,0,0,1,1,1,3,0,0,2,3,0,tcp,-,FIN
4e-06,200,0,90909.0902,254,0,72727272.0,0.0,0.011,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,4,4,4,0,0,8,11,0,unas,-,INT
0.227228,1526,268,66.012991,254,252,48374.32031,7886.352051,23.740444,39.148,1216.262525,57.458773,255,58818458,1164368772,0.085653,0.031487,0.054166,153,45,1,0,1,3,1,10,0,1,3,10,0,tcp,http,FIN
3e-06,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,19,10,29,0,0,19,29,0,udp,dns,INT
0.413035,1206,268,36.316534,254,252,21034.53711,4338.615234,45.892778,80.256797,3118.07918,137.445266,255,597073499,2013623196,0.051774,0.011084,0.04069,121,45,1,0,1,1,1,1,0,1,1,1,0,tcp,http,FIN
1.016747,904,678,26.555279,254,252,6672.259766,4894.039551,67.783132,86.462547,3634.809524,128.345891,255,656324138,1873663455,0.116716,0.052776,0.06394,57,57,0,0,1,1,1,4,0,0,2,4,0,tcp,-,FIN
0.005349,8928,320,3552.065817,31,29,12400075.0,399326.9688,0.411462,0.9342,23.261432,1.561326,255,3538860733,3544845976,0.000709,0.000543,0.000166,638,53,0,0,0,1,1,2,0,0,2,8,0,tcp,ftp-data,FIN
2.877068,1684,10168,10.774858,31,29,4348.871582,26704.96484,221.286308,169.207235,18323.75368,16029.65052,255,3120608724,3165441357,0.000697,0.000541,0.000156,120,565,1,3924,0,1,1,1,0,1,1,4,0,tcp,http,FIN
1.903207,1880,193931,103.5095,62,252,7696.48291,810081.125,51.438025,11.615019,2483.590265,1165.271744,255,668543562,3858214406,0.076059,0.04404,0.032019,49,1212,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
5e-06,78,0,200000.0051,254,0,62400000.0,0.0,0.005,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,39,0,0,0,2,2,1,5,0,0,2,5,0,udp,-,INT
0.362272,744,6174,52.446781,62,252,14795.5127,122714.4297,40.181,33.731444,2048.575346,1971.291475,255,3388174400,3688155861,0.075817,0.058684,0.017133,74,617,1,2649,1,1,1,1,0,1,1,1,0,tcp,http,FIN
9e-06,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,18,18,23,0,0,18,23,0,udp,dns,INT
8e-06,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,8,8,30,0,0,8,30,0,udp,dns,INT
2.118946,844,354,8.022856,254,252,2869.351074,1170.393188,235.374444,285.473156,14634.73569,601.727938,255,623251860,2560514605,0.311191,0.120624,0.190567,84,44,0,0,1,1,1,1,0,0,1,4,0,tcp,-,FIN
4e-06,114,0,250000.0006,254,0,114000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,22,22,22,0,0,22,22,0,udp,dns,INT
0.198007,1008,268,75.754897,254,252,36685.57031,9050.18457,20.912444,34.816398,1230.215581,53.261293,255,719080926,1975254363,0.030915,0.023921,0.006994,101,45,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
1e-06,114,0,1000000.003,254,0,456000000.0,0.0,0.001,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,3,3,3,0,0,3,7,0,udp,dns,INT
0.001036,132,164,2895.752973,31,29,509652.5313,633204.625,0.01,0.008,0.0,0.0,0,0,0,0.0,0.0,0.0,66,82,0,0,0,1,1,1,0,0,3,1,0,udp,dns,CON
4e-06,200,0,125000.0003,254,0,100000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,6,6,6,0,0,9,14,0,unas,-,INT
1.432604,2158,1918,30.015274,31,29,11553.78613,10180.06445,62.287127,75.364213,0.0,5158.644569,255,1145284658,1145546677,0.000709,0.000546,0.000163,90,96,0,0,0,1,1,1,0,0,3,6,0,tcp,-,FIN
0.001036,146,178,2895.752973,31,29,563706.5625,687258.6875,0.011,0.008,0.0,0.0,0,0,0,0.0,0.0,0.0,73,89,0,0,0,2,1,1,0,0,2,2,0,udp,dns,CON
9e-06,114,0,111111.1072,254,0,50666664.0,0.0,0.009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,37,22,37,0,0,37,37,0,udp,dns,INT
1.174854,14512,17238,171.085082,31,29,97830.02344,116228.9063,11.867212,11.62504,815.232838,809.905743,255,3000832807,855741971,0.000748,0.000587,0.000161,145,169,0,0,0,1,1,2,0,0,4,1,0,tcp,ssh,FIN
1.1e-05,114,0,90909.0902,254,0,41454544.0,0.0,0.011,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,7,4,7,0,0,7,11,0,udp,dns,INT
8e-06,114,0,125000.0003,254,0,57000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,32,20,36,0,0,33,36,0,udp,dns,INT
0.550979,2516,268,27.224267,254,252,32886.91406,3252.392334,56.278222,96.671797,2916.98977,150.286453,255,2459480164,3265042661,0.13802,0.067615,0.070405,252,45,0,0,1,1,1,2,0,0,19,2,0,tcp,-,FIN
4e-06,104,0,250000.0006,254,0,104000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,1,4,0,0,4,4,0,udp,-,INT
1.015938,906,642,26.576424,254,252,6693.321777,4638.078125,65.122199,87.476367,3896.602074,122.217203,255,3947632852,1112680071,0.120631,0.053688,0.066943,57,54,0,0,1,1,1,5,0,0,1,5,0,tcp,-,FIN
1.886487,734,22436,21.733518,62,252,2921.833008,91488.57031,125.765796,69.191279,6673.458468,5726.674265,255,417435309,3647343038,0.263977,0.125487,0.13849,46,863,0,0,1,1,1,1,0,0,1,1,0,tcp,-,FIN
7e-06,90,0,142857.1409,254,0,51428572.0,0.0,0.007,0.0,0.0,0.0,255,0,0,0.0,0.0,0.0,45,0,0,0,6,1,1,10,0,0,6,11,0,tcp,-,REQ
1.165798,534,354,14.582287,254,252,3300.743408,2127.29834,129.533111,155.410719,9677.079939,238.094188,255,320744078,3781038542,0.096195,0.062963,0.033232,53,44,0,0,1,1,1,2,0,0,1,3,0,tcp,-,FIN
3e-06,168,0,333333.3215,254,0,224000000.0,0.0,0.003,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,1,1,1,0,0,1,1,0,udp,-,INT
0.897033,12472,12820,146.036995,31,29,109641.4531,112495.3047,13.000479,14.693246,752.449243,801.359663,255,3287739710,1138455499,0.000755,0.000596,0.000159,178,207,0,0,0,1,1,1,0,0,2,2,0,tcp,ssh,FIN
2.102171,1016,2952,16.649455,62,252,3653.365967,10609.98438,123.657118,119.438414,7089.707195,180.013234,255,3647009496,837711540,0.158704,0.070758,0.087946,56,164,0,0,1,1,1,1,0,0,6,1,0,tcp,-,FIN
0.670568,756,268,22.369096,254,252,8124.456055,2672.361328,69.314111,109.290203,3794.25515,171.802344,255,2874321609,134985815,0.174738,0.124115,0.050623,76,45,0,0,1,1,1,2,0,0,1,2,0,tcp,-,FIN
8e-06,104,0,125000.0003,254,0,52000000.0,0.0,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,1,3,0,0,7,3,0,udp,-,INT
0.793967,3336,678,31.487454,254,252,31215.40234,6267.262695,60.98531,68.150727,3001.028977,78.722156,255,821899923,1309826331,0.088281,0.044302,0.043979,238,57,0,0,1,1,1,4,0,0,2,4,0,tcp,-,FIN
0.001029,146,178,2915.451794,31,29,567541.3125,691933.875,0.006,0.006,0.0,0.0,0,0,0,0.0,0.0,0.0,73,89,0,0,0,1,1,1,0,0,5,2,0,udp,dns,CON
1e-06,114,0,1000000.003,254,0,456000000.0,0.0,0.001,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,26,12,34,0,0,26,34,0,udp,dns,INT
5e-06,104,0,200000.0051,254,0,83200000.0,0.0,0.005,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,1,1,3,0,0,2,3,0,udp,-,INT
0.004458,568,312,1570.210874,31,29,764468.375,419919.25,1.194,1.022333,1.682207,1.435899,0,0,0,0.0,0.0,0.0,142,78,0,0,0,1,1,3,0,0,3,11,0,udp,-,CON
0.499282,594,268,30.043142,254,252,8572.30957,3589.154053,53.041778,86.920797,2844.49302,147.695188,255,1446770687,4026699441,0.108413,0.06467,0.043743,59,45,0,0,1,2,1,8,0,0,2,8,0,tcp,-,FIN
3e-06,114,0,333333.3215,254,0,152000000.0,0.0,0.003,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,25,25,29,0,0,25,29,0,udp,dns,INT
0.804247,846,1104,21.137784,62,252,7579.760742,9608.988281,89.360778,99.85743,4447.185687,154.745875,255,2571656743,2598115105,0.236189,0.1046,0.131589,85,138,1,131,1,1,1,3,0,1,1,3,0,tcp,http,FIN
6e-06,114,0,166666.6608,254,0,76000000.0,0.0,0.006,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,13,13,36,0,0,13,36,0,udp,dns,INT
2e-06,114,0,500000.0013,254,0,228000000.0,0.0,0.002,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,15,15,25,0,0,15,25,0,udp,dns,INT
5e-06,114,0,200000.0051,254,0,91200000.0,0.0,0.005,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,33,18,33,0,0,33,33,0,udp,dns,INT
4e-06,200,0,250000.0006,254,0,200000000.0,0.0,0.004,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,6,6,6,0,0,6,16,0,prm,-,INT
1.1e-05,200,0,100000.0025,254,0,80000000.0,0.0,0.01,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,4,4,4,0,0,4,10,0,ttp,-,INT
1e-05,114,0,100000.0025,254,0,45600000.0,0.0,0.01,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,0,0,0,2,7,3,7,0,0,7,14,0,udp,dns,INT
9e-06,200,0,111111.1072,254,0,88888888.0,0.0,0.009,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,4,4,8,0,0,13,8,0,unas,-,INT
1.11215,2530,354,15.285708,254,252,16379.08594,2229.915039,123.572222,138.532,7403.405411,209.674359,255,4011304712,2391208240,0.176271,0.08224,0.094031,253,44,0,0,1,1,1,3,0,0,1,3,0,tcp,-,FIN
0.220151,85672,3788,667.723495,29,31,3072254.75,135761.3594,2.935347,3.075268,156.298979,4.016229,255,178193820,51821024,0.0,0.0,0.0,1127,53,0,0,0,1,1,1,0,0,1,1,0,tcp,-,FIN
1.082826,774,642,23.087735,254,252,5312.025879,4351.576172,83.29431,92.182727,5359.052184,132.797672,255,340182413,3636718186,0.142574,0.04443,0.098144,55,54,0,0,1,1,1,3,0,0,23,3,0,tcp,-,FIN
8.613407,180,0,0.348294,254,0,125.385925,0.0,2871.13575,0.0,4060.39125,0.0,255,0,0,0.0,0.0,0.0,45,0,0,0,6,2,2,26,0,0,11,26,0,tcp,-,REQ
1.270973,68183,698,59.00991,254,252,422020.0,4122.825684,21.541915,83.034203,2443.251488,109.287711,255,2231456488,3685411007,0.083778,0.024746,0.059032,1136,44,1,0,1,1,1,1,0,1,4,1,0,tcp,-,FIN
1.141015,804,1152,14.899015,62,252,5076.182129,7067.391602,126.779444,151.854422,7497.868715,306.559281,255,1389319246,3299279585,0.118878,0.077355,0.041523,80,144,1,173,1,2,1,2,0,1,2,2,0,tcp,http,FIN
0.145831,4862,79882,1158.875655,31,29,263592.7813,4331260.0,1.751482,1.729464,98.850567,97.854354,255,2365640363,238647950,0.000753,0.000553,0.0002,58,929,0,0,0,1,1,3,0,0,7,3,0,tcp,-,FIN
